Date,Hour,Load
1/5/2008,1,8774.67
1/5/2008,2,8715.75
1/5/2008,3,8754.75
1/5/2008,4,8907.75
1/5/2008,5,9126.5
1/5/2008,6,9480.33
1/5/2008,7,9894.33
1/5/2008,8,10337.17
1/5/2008,9,10379.83
1/5/2008,10,9705.83
1/5/2008,11,8847.75
1/5/2008,12,8270.75
1/5/2008,13,7835.58
1/5/2008,14,7022.5
1/5/2008,15,6601
1/5/2008,16,6630.58
1/5/2008,17,6966.83
1/5/2008,18,8069.58
1/5/2008,19,8583.5
1/5/2008,20,8623.25
1/5/2008,21,8518.58
1/5/2008,22,8148.67
1/5/2008,23,7554
1/5/2008,24,6895.08
1/6/2008,1,6338.17
1/6/2008,2,6004.58
1/6/2008,3,5939.17
1/6/2008,4,5935.25
1/6/2008,5,6009.25
1/6/2008,6,6193.5
1/6/2008,7,6550.25
1/6/2008,8,7099.67
1/6/2008,9,7669.92
1/6/2008,10,7253
1/6/2008,11,6358.25
1/6/2008,12,5781.58
1/6/2008,13,5474.17
1/6/2008,14,5216.25
1/6/2008,15,5042.17
1/6/2008,16,4957
1/6/2008,17,5260.58
1/6/2008,18,6202.58
1/6/2008,19,6925.42
1/6/2008,20,6936.33
1/6/2008,21,6810.75
1/6/2008,22,6307.42
1/6/2008,23,5676
1/6/2008,24,5020.58
1/7/2008,1,4626.17
1/7/2008,2,4568.67
1/7/2008,3,4637.58
1/7/2008,4,4790.42
1/7/2008,5,5161.42
1/7/2008,6,6112.92
1/7/2008,7,7526.5
1/7/2008,8,7413.58
1/7/2008,9,6505.17
1/7/2008,10,5747.08
1/7/2008,11,5205.83
1/7/2008,12,4812.67
1/7/2008,13,4623.17
1/7/2008,14,4497.58
1/7/2008,15,4371.33
1/7/2008,16,4365.42
1/7/2008,17,4614.67
1/7/2008,18,5656.5
1/7/2008,19,6648.42
1/7/2008,20,6703
1/7/2008,21,6539.42
1/7/2008,22,6041
1/7/2008,23,5347.08
1/7/2008,24,4611.75
1/8/2008,1,4137.25
1/8/2008,2,3985.92
1/8/2008,3,3963.25
1/8/2008,4,4054
1/8/2008,5,4319.83
1/8/2008,6,5158.42
1/8/2008,7,6480
1/8/2008,8,6348.5
1/8/2008,9,5619.17
1/8/2008,10,5225.67
1/8/2008,11,4854.92
1/8/2008,12,4601.33
1/8/2008,13,4452.08
1/8/2008,14,4377.42
1/8/2008,15,4277.75
1/8/2008,16,4268.58
1/8/2008,17,4591.17
1/8/2008,18,5577.5
1/8/2008,19,6461.75
1/8/2008,20,6537.58
1/8/2008,21,6354.42
1/8/2008,22,5816.58
1/8/2008,23,5074.58
1/8/2008,24,4253.75
1/9/2008,1,3797.17
1/9/2008,2,3558.17
1/9/2008,3,3487
1/9/2008,4,3507.17
1/9/2008,5,3686
1/9/2008,6,4415.17
1/9/2008,7,5666.17
1/9/2008,8,5597.08
1/9/2008,9,4895.92
1/9/2008,10,4684.5
1/9/2008,11,4603.75
1/9/2008,12,4479.75
1/9/2008,13,4397.08
1/9/2008,14,4358.67
1/9/2008,15,4302.92
1/9/2008,16,4338.42
1/9/2008,17,4607.17
1/9/2008,18,5545.25
1/9/2008,19,6387.25
1/9/2008,20,6387.67
1/9/2008,21,6295.92
1/9/2008,22,5937.92
1/9/2008,23,5243.25
1/9/2008,24,4495.5
1/10/2008,1,4059.92
1/10/2008,2,3929.83
1/10/2008,3,3973.25
1/10/2008,4,4118.25
1/10/2008,5,4471.92
1/10/2008,6,5399.17
1/10/2008,7,6951.17
1/10/2008,8,6917.08
1/10/2008,9,6152.75
1/10/2008,10,5825
1/10/2008,11,5449
1/10/2008,12,5659.42
1/10/2008,13,5567.5
1/10/2008,14,5518.33
1/10/2008,15,5420.25
1/10/2008,16,5447.08
1/10/2008,17,5806.42
1/10/2008,18,6918.92
1/10/2008,19,7527.58
1/10/2008,20,7532.5
1/10/2008,21,7460.92
1/10/2008,22,6935.42
1/10/2008,23,6154.67
1/10/2008,24,5380.33
1/11/2008,1,4807.42
1/11/2008,2,4506.92
1/11/2008,3,4270.92
1/11/2008,4,4128
1/11/2008,5,4192.75
1/11/2008,6,4781.67
1/11/2008,7,5940.67
1/11/2008,8,5748.92
1/11/2008,9,5141
1/11/2008,10,4939.42
1/11/2008,11,4840.17
1/11/2008,12,4680.75
1/11/2008,13,4529.33
1/11/2008,14,4424.5
1/11/2008,15,4322.33
1/11/2008,16,4330.25
1/11/2008,17,4570
1/11/2008,18,5317.5
1/11/2008,19,5966.5
1/11/2008,20,5907
1/11/2008,21,5775.83
1/11/2008,22,5531.17
1/11/2008,23,5164.42
1/11/2008,24,4692.67
1/12/2008,1,4339.75
1/12/2008,2,4230
1/12/2008,3,4318.42
1/12/2008,4,4487.42
1/12/2008,5,4813.5
1/12/2008,6,5271.83
1/12/2008,7,5893.83
1/12/2008,8,6562.67
1/12/2008,9,7149.92
1/12/2008,10,6934.58
1/12/2008,11,6640.58
1/12/2008,12,6377.83
1/12/2008,13,6007.75
1/12/2008,14,5769.75
1/12/2008,15,5564.42
1/12/2008,16,5587.83
1/12/2008,17,5860.08
1/12/2008,18,6691.58
1/12/2008,19,7346.75
1/12/2008,20,7408.17
1/12/2008,21,7416.75
1/12/2008,22,7208.33
1/12/2008,23,6838.92
1/12/2008,24,6437.67
1/13/2008,1,5960.17
1/13/2008,2,5691.83
1/13/2008,3,5572.92
1/13/2008,4,5536.75
1/13/2008,5,5662.42
1/13/2008,6,5962.42
1/13/2008,7,6441.75
1/13/2008,8,7122.83
1/13/2008,9,7864.42
1/13/2008,10,7959
1/13/2008,11,7563.67
1/13/2008,12,7299.33
1/13/2008,13,7204.83
1/13/2008,14,7109.17
1/13/2008,15,7043.5
1/13/2008,16,7165.58
1/13/2008,17,7303.58
1/13/2008,18,7940.25
1/13/2008,19,8341.58
1/13/2008,20,8258.08
1/13/2008,21,8038.92
1/13/2008,22,7458.42
1/13/2008,23,6752.25
1/13/2008,24,6144.08
1/14/2008,1,5977.42
1/14/2008,2,6206.67
1/14/2008,3,6605.25
1/14/2008,4,7016.17
1/14/2008,5,7612.08
1/14/2008,6,8747.5
1/14/2008,7,10200.25
1/14/2008,8,9942.42
1/14/2008,9,8975.17
1/14/2008,10,7991.75
1/14/2008,11,7265.92
1/14/2008,12,6522.08
1/14/2008,13,5983.67
1/14/2008,14,5636.17
1/14/2008,15,5421.83
1/14/2008,16,5472.08
1/14/2008,17,6083.33
1/14/2008,18,7638.25
1/14/2008,19,8827.25
1/14/2008,20,9142.75
1/14/2008,21,9174.58
1/14/2008,22,8778.67
1/14/2008,23,8094.17
1/14/2008,24,7543.67
1/15/2008,1,7440.17
1/15/2008,2,7696.42
1/15/2008,3,8050.17
1/15/2008,4,8519
1/15/2008,5,9141.42
1/15/2008,6,10333.42
1/15/2008,7,11893.83
1/15/2008,8,11712.17
1/15/2008,9,10453.58
1/15/2008,10,8973.08
1/15/2008,11,7841.25
1/15/2008,12,7431.08
1/15/2008,13,7270.92
1/15/2008,14,6832.08
1/15/2008,15,6506.17
1/15/2008,16,6664.25
1/15/2008,17,7376.33
1/15/2008,18,8974.33
1/15/2008,19,10229.25
1/15/2008,20,10570.5
1/15/2008,21,10474.33
1/15/2008,22,10039.67
1/15/2008,23,9443.33
1/15/2008,24,8855.5
1/16/2008,1,8726.58
1/16/2008,2,8866.17
1/16/2008,3,9066.67
1/16/2008,4,9398.25
1/16/2008,5,9871.08
1/16/2008,6,10926.58
1/16/2008,7,12293.75
1/16/2008,8,12053.5
1/16/2008,9,10820.17
1/16/2008,10,9575.33
1/16/2008,11,8322.75
1/16/2008,12,7479.5
1/16/2008,13,6842.17
1/16/2008,14,6401.25
1/16/2008,15,6143.5
1/16/2008,16,6446.25
1/16/2008,17,7176
1/16/2008,18,8498.58
1/16/2008,19,9486.83
1/16/2008,20,9591.92
1/16/2008,21,9467.42
1/16/2008,22,8990.58
1/16/2008,23,8193.17
1/16/2008,24,7415.92
1/17/2008,1,6917.33
1/17/2008,2,6788.5
1/17/2008,3,6757.58
1/17/2008,4,6812.25
1/17/2008,5,7113.33
1/17/2008,6,7859.83
1/17/2008,7,8833.17
1/17/2008,8,9236.17
1/17/2008,9,9326.25
1/17/2008,10,8763.08
1/17/2008,11,8729.42
1/17/2008,12,8698.75
1/17/2008,13,8540.25
1/17/2008,14,8268.58
1/17/2008,15,8110.92
1/17/2008,16,8142.5
1/17/2008,17,8545.75
1/17/2008,18,9383
1/17/2008,19,9924.75
1/17/2008,20,9759.25
1/17/2008,21,9455.42
1/17/2008,22,8909.33
1/17/2008,23,8088.5
1/17/2008,24,7333.5
1/18/2008,1,6952.5
1/18/2008,2,6831.5
1/18/2008,3,6837.92
1/18/2008,4,6894.25
1/18/2008,5,7186.42
1/18/2008,6,7936.17
1/18/2008,7,9050.5
1/18/2008,8,9100
1/18/2008,9,8640.5
1/18/2008,10,8344.92
1/18/2008,11,7700.67
1/18/2008,12,7033.17
1/18/2008,13,6372.33
1/18/2008,14,5801
1/18/2008,15,5375.83
1/18/2008,16,5338.58
1/18/2008,17,5762
1/18/2008,18,6931.92
1/18/2008,19,7886.25
1/18/2008,20,8048.25
1/18/2008,21,8049.75
1/18/2008,22,7906.5
1/18/2008,23,7553.17
1/18/2008,24,7084.75
1/19/2008,1,6631.33
1/19/2008,2,6356.17
1/19/2008,3,6248.42
1/19/2008,4,6177.33
1/19/2008,5,6268.17
1/19/2008,6,6513
1/19/2008,7,6872.33
1/19/2008,8,7339
1/19/2008,9,7977.17
1/19/2008,10,8446.17
1/19/2008,11,8566.25
1/19/2008,12,8309.92
1/19/2008,13,8134.08
1/19/2008,14,8010
1/19/2008,15,8192.67
1/19/2008,16,8587.42
1/19/2008,17,9156.67
1/19/2008,18,9907.17
1/19/2008,19,10382.08
1/19/2008,20,10142.5
1/19/2008,21,9775.08
1/19/2008,22,9347.67
1/19/2008,23,8823.75
1/19/2008,24,8245.92
1/20/2008,1,7858.92
1/20/2008,2,7712.83
1/20/2008,3,7733.5
1/20/2008,4,7789.5
1/20/2008,5,8070.17
1/20/2008,6,8577.42
1/20/2008,7,9224
1/20/2008,8,10042.08
1/20/2008,9,10692.92
1/20/2008,10,10782.92
1/20/2008,11,10384.25
1/20/2008,12,9924.83
1/20/2008,13,9478.42
1/20/2008,14,9054.83
1/20/2008,15,8738.83
1/20/2008,16,8690.42
1/20/2008,17,9175.67
1/20/2008,18,10471.58
1/20/2008,19,11550.33
1/20/2008,20,11794.58
1/20/2008,21,12033.25
1/20/2008,22,11902.5
1/20/2008,23,11719.83
1/20/2008,24,11456.25
1/21/2008,1,11511.5
1/21/2008,2,11731.33
1/21/2008,3,11993.33
1/21/2008,4,12207.17
1/21/2008,5,12546.5
1/21/2008,6,13251.33
1/21/2008,7,13956.83
1/21/2008,8,14175.08
1/21/2008,9,13471.17
1/21/2008,10,12212
1/21/2008,11,11085.33
1/21/2008,12,10069
1/21/2008,13,9120.92
1/21/2008,14,8336.08
1/21/2008,15,7903.25
1/21/2008,16,7817.17
1/21/2008,17,8345
1/21/2008,18,10004.08
1/21/2008,19,11354.75
1/21/2008,20,11752.17
1/21/2008,21,11810
1/21/2008,22,11529
1/21/2008,23,10853.08
1/21/2008,24,10246.75
1/22/2008,1,10084.67
1/22/2008,2,10175.33
1/22/2008,3,10106.92
1/22/2008,4,9855.33
1/22/2008,5,9885.67
1/22/2008,6,10353.42
1/22/2008,7,11259.58
1/22/2008,8,10906.92
1/22/2008,9,10107.75
1/22/2008,10,9586.83
1/22/2008,11,9005.75
1/22/2008,12,8816.42
1/22/2008,13,8463
1/22/2008,14,8055.67
1/22/2008,15,7415.92
1/22/2008,16,7399.58
1/22/2008,17,7904.42
1/22/2008,18,8839.42
1/22/2008,19,9554.58
1/22/2008,20,9571.5
1/22/2008,21,9226.75
1/22/2008,22,8638.5
1/22/2008,23,7764.33
1/22/2008,24,6956.75
1/23/2008,1,6439.67
1/23/2008,2,6303.08
1/23/2008,3,6310.25
1/23/2008,4,6383
1/23/2008,5,6723.17
1/23/2008,6,7578.58
1/23/2008,7,8805.42
1/23/2008,8,8706.75
1/23/2008,9,7965.17
1/23/2008,10,7280.83
1/23/2008,11,6473.58
1/23/2008,12,5881.25
1/23/2008,13,5453.5
1/23/2008,14,5103.92
1/23/2008,15,4893.5
1/23/2008,16,4943.08
1/23/2008,17,5346.75
1/23/2008,18,6652.83
1/23/2008,19,7925.42
1/23/2008,20,8309.25
1/23/2008,21,8388.75
1/23/2008,22,8230.25
1/23/2008,23,7696.42
1/23/2008,24,7063.17
1/24/2008,1,6817
1/24/2008,2,6967.25
1/24/2008,3,7220.33
1/24/2008,4,7439.92
1/24/2008,5,7898
1/24/2008,6,8961.75
1/24/2008,7,10322.5
1/24/2008,8,10097.67
1/24/2008,9,9044
1/24/2008,10,8357.58
1/24/2008,11,8067.42
1/24/2008,12,7929.83
1/24/2008,13,7470.5
1/24/2008,14,6902.25
1/24/2008,15,6378.17
1/24/2008,16,6601.75
1/24/2008,17,7140.08
1/24/2008,18,8495.25
1/24/2008,19,9726.67
1/24/2008,20,10052.5
1/24/2008,21,10128.83
1/24/2008,22,9909.08
1/24/2008,23,9303.58
1/24/2008,24,8849.75
1/25/2008,1,8774.33
1/25/2008,2,8957.17
1/25/2008,3,9201.83
1/25/2008,4,9569.33
1/25/2008,5,10106.92
1/25/2008,6,11191.42
1/25/2008,7,12717.08
1/25/2008,8,12586
1/25/2008,9,11398.08
1/25/2008,10,10312.17
1/25/2008,11,9329.58
1/25/2008,12,8457.92
1/25/2008,13,7704.83
1/25/2008,14,7052
1/25/2008,15,6599.08
1/25/2008,16,6651.92
1/25/2008,17,7279.92
1/25/2008,18,8805.5
1/25/2008,19,10198.25
1/25/2008,20,10590.83
1/25/2008,21,10814.92
1/25/2008,22,10686.42
1/25/2008,23,10002.67
1/25/2008,24,9323.58
1/26/2008,1,8814.5
1/26/2008,2,8603.33
1/26/2008,3,8564.83
1/26/2008,4,8571.83
1/26/2008,5,8621.42
1/26/2008,6,8854.33
1/26/2008,7,9152
1/26/2008,8,9502.67
1/26/2008,9,9920.17
1/26/2008,10,9778.17
1/26/2008,11,9233.33
1/26/2008,12,8325.75
1/26/2008,13,7580.08
1/26/2008,14,7236
1/26/2008,15,6970.42
1/26/2008,16,7062
1/26/2008,17,7165.58
1/26/2008,18,7946.08
1/26/2008,19,8601.92
1/26/2008,20,8537.67
1/26/2008,21,8407.08
1/26/2008,22,8114.92
1/26/2008,23,7852
1/26/2008,24,7726.17
1/27/2008,1,7559
1/27/2008,2,7524.33
1/27/2008,3,7796.42
1/27/2008,4,8098.58
1/27/2008,5,8346.33
1/27/2008,6,8770.25
1/27/2008,7,9315.67
1/27/2008,8,10073.58
1/27/2008,9,10416.58
1/27/2008,10,9412.33
1/27/2008,11,8048.25
1/27/2008,12,7116.67
1/27/2008,13,6721.75
1/27/2008,14,6312.92
1/27/2008,15,5976.92
1/27/2008,16,5881.33
1/27/2008,17,6198.5
1/27/2008,18,7205.17
1/27/2008,19,8451.58
1/27/2008,20,8925.92
1/27/2008,21,9128.33
1/27/2008,22,8954.25
1/27/2008,23,8437.08
1/27/2008,24,7989.17
1/28/2008,1,7927.17
1/28/2008,2,8177.42
1/28/2008,3,8513.17
1/28/2008,4,8922.58
1/28/2008,5,9496.75
1/28/2008,6,10709.08
1/28/2008,7,12257.42
1/28/2008,8,11985.25
1/28/2008,9,10623.25
1/28/2008,10,8969
1/28/2008,11,7625.08
1/28/2008,12,6703.33
1/28/2008,13,6086.75
1/28/2008,14,5605.5
1/28/2008,15,5249.67
1/28/2008,16,5196.25
1/28/2008,17,5628.58
1/28/2008,18,6976.17
1/28/2008,19,8426.25
1/28/2008,20,8771.42
1/28/2008,21,8829.67
1/28/2008,22,8458.5
1/28/2008,23,7708.25
1/28/2008,24,7144.33
1/29/2008,1,6952.08
1/29/2008,2,6982.42
1/29/2008,3,6732
1/29/2008,4,6594
1/29/2008,5,6746.67
1/29/2008,6,7487.5
1/29/2008,7,8671.17
1/29/2008,8,8359.08
1/29/2008,9,7339.58
1/29/2008,10,6723.25
1/29/2008,11,5991.92
1/29/2008,12,5543.5
1/29/2008,13,5331.58
1/29/2008,14,5074.58
1/29/2008,15,4854.08
1/29/2008,16,4836
1/29/2008,17,5283.42
1/29/2008,18,6366.08
1/29/2008,19,7345.25
1/29/2008,20,7465.08
1/29/2008,21,7221.58
1/29/2008,22,6678.92
1/29/2008,23,5934.5
1/29/2008,24,5167.25
1/30/2008,1,4722.75
1/30/2008,2,4546
1/30/2008,3,4512
1/30/2008,4,4621.08
1/30/2008,5,4802.25
1/30/2008,6,5522.08
1/30/2008,7,6662.42
1/30/2008,8,6490.33
1/30/2008,9,5781.58
1/30/2008,10,5451.92
1/30/2008,11,5248.75
1/30/2008,12,5068.67
1/30/2008,13,4883.92
1/30/2008,14,4741.75
1/30/2008,15,4686.5
1/30/2008,16,4798.17
1/30/2008,17,5260.33
1/30/2008,18,6471.17
1/30/2008,19,7937.08
1/30/2008,20,8530.67
1/30/2008,21,8838.58
1/30/2008,22,8771.42
1/30/2008,23,8239.42
1/30/2008,24,7796.33
1/31/2008,1,7754.17
1/31/2008,2,7993.17
1/31/2008,3,8335.25
1/31/2008,4,8712.5
1/31/2008,5,9215.83
1/31/2008,6,10208.67
1/31/2008,7,11511.25
1/31/2008,8,11026.08
1/31/2008,9,9581.17
1/31/2008,10,8417.75
1/31/2008,11,7517.08
1/31/2008,12,6781
1/31/2008,13,6133.33
1/31/2008,14,5802.67
1/31/2008,15,5543.25
1/31/2008,16,5672.75
1/31/2008,17,6380.83
1/31/2008,18,7572.08
1/31/2008,19,8540.58
1/31/2008,20,8773.75
1/31/2008,21,8698.17
1/31/2008,22,8164
1/31/2008,23,7454.42
1/31/2008,24,6733.75
2/1/2008,1,6356.5
2/1/2008,2,6313.08
2/1/2008,3,6414.92
2/1/2008,4,6516.75
2/1/2008,5,6770.83
2/1/2008,6,7641.75
2/1/2008,7,8906.08
2/1/2008,8,8855
2/1/2008,9,8147.75
2/1/2008,10,7744.25
2/1/2008,11,7508.67
2/1/2008,12,7116.58
2/1/2008,13,6742.92
2/1/2008,14,6362.75
2/1/2008,15,5745.42
2/1/2008,16,5213.42
2/1/2008,17,5377.08
2/1/2008,18,6151.67
2/1/2008,19,7307.25
2/1/2008,20,7431.58
2/1/2008,21,7491.92
2/1/2008,22,7327.42
2/1/2008,23,7065.17
2/1/2008,24,6653.83
2/2/2008,1,6379.83
2/2/2008,2,6438.83
2/2/2008,3,6726.58
2/2/2008,4,7086.17
2/2/2008,5,7547
2/2/2008,6,8117.58
2/2/2008,7,8768.83
2/2/2008,8,9415.42
2/2/2008,9,9400.17
2/2/2008,10,8457.17
2/2/2008,11,7460.83
2/2/2008,12,6617.17
2/2/2008,13,6013.17
2/2/2008,14,5474.33
2/2/2008,15,5138.5
2/2/2008,16,5020.33
2/2/2008,17,5192.92
2/2/2008,18,5823.08
2/2/2008,19,6868.83
2/2/2008,20,7123.08
2/2/2008,21,7258.33
2/2/2008,22,7203.92
2/2/2008,23,6956.08
2/2/2008,24,6617.92
2/3/2008,1,6311
2/3/2008,2,6287.33
2/3/2008,3,6341.67
2/3/2008,4,6470.92
2/3/2008,5,6613
2/3/2008,6,6980.92
2/3/2008,7,7495.67
2/3/2008,8,8228.33
2/3/2008,9,8752.67
2/3/2008,10,7912.42
2/3/2008,11,6885.08
2/3/2008,12,6040.92
2/3/2008,13,5615
2/3/2008,14,5345.25
2/3/2008,15,5158.25
2/3/2008,16,5126.33
2/3/2008,17,5333.58
2/3/2008,18,5935.25
2/3/2008,19,6650.08
2/3/2008,20,6617.83
2/3/2008,21,6649
2/3/2008,22,6248.67
2/3/2008,23,5877.25
2/3/2008,24,5221.58
2/4/2008,1,4672.67
2/4/2008,2,4521.17
2/4/2008,3,4554.92
2/4/2008,4,4743.58
2/4/2008,5,5225
2/4/2008,6,6273.42
2/4/2008,7,7790.17
2/4/2008,8,7711.33
2/4/2008,9,6890.33
2/4/2008,10,5990.67
2/4/2008,11,5419.5
2/4/2008,12,5024.08
2/4/2008,13,4706
2/4/2008,14,4511.42
2/4/2008,15,4364.17
2/4/2008,16,4371.08
2/4/2008,17,4697.25
2/4/2008,18,5625.67
2/4/2008,19,6567.17
2/4/2008,20,6663.08
2/4/2008,21,6447.92
2/4/2008,22,5914.25
2/4/2008,23,5090.92
2/4/2008,24,4409.42
2/5/2008,1,3995.92
2/5/2008,2,3889.17
2/5/2008,3,3919
2/5/2008,4,4044.58
2/5/2008,5,4357.17
2/5/2008,6,5225.33
2/5/2008,7,6559.75
2/5/2008,8,6426.75
2/5/2008,9,5660
2/5/2008,10,5231.67
2/5/2008,11,4906.25
2/5/2008,12,4741.17
2/5/2008,13,4522.5
2/5/2008,14,4356.58
2/5/2008,15,4266.33
2/5/2008,16,4297.92
2/5/2008,17,4466.92
2/5/2008,18,5007.25
2/5/2008,19,6211.08
2/5/2008,20,6464
2/5/2008,21,6220.42
2/5/2008,22,5746.75
2/5/2008,23,5023.42
2/5/2008,24,4186.5
2/6/2008,1,3674.83
2/6/2008,2,3442.17
2/6/2008,3,3353.33
2/6/2008,4,3328.58
2/6/2008,5,3471.17
2/6/2008,6,4156.58
2/6/2008,7,5436.42
2/6/2008,8,5337
2/6/2008,9,4736.67
2/6/2008,10,4485.83
2/6/2008,11,4418.83
2/6/2008,12,4391.5
2/6/2008,13,4368.67
2/6/2008,14,4351.5
2/6/2008,15,4372.42
2/6/2008,16,4436.17
2/6/2008,17,4655.25
2/6/2008,18,5274.42
2/6/2008,19,6337.67
2/6/2008,20,6428.92
2/6/2008,21,6218.08
2/6/2008,22,5719.08
2/6/2008,23,5028
2/6/2008,24,4264.92
2/7/2008,1,3699.5
2/7/2008,2,3420.08
2/7/2008,3,3299.42
2/7/2008,4,3266.83
2/7/2008,5,3432.58
2/7/2008,6,4174.58
2/7/2008,7,5564.75
2/7/2008,8,5553.42
2/7/2008,9,4990.17
2/7/2008,10,4678.08
2/7/2008,11,4507.33
2/7/2008,12,4382
2/7/2008,13,4298.75
2/7/2008,14,4235.08
2/7/2008,15,4188.92
2/7/2008,16,4250.08
2/7/2008,17,4478
2/7/2008,18,5104.67
2/7/2008,19,6357.83
2/7/2008,20,6732.25
2/7/2008,21,6810
2/7/2008,22,6557.33
2/7/2008,23,5943.08
2/7/2008,24,5383.08
2/8/2008,1,5197.25
2/8/2008,2,5277.33
2/8/2008,3,5480
2/8/2008,4,5761
2/8/2008,5,6280.25
2/8/2008,6,7426.58
2/8/2008,7,9102.67
2/8/2008,8,9057.92
2/8/2008,9,7960.83
2/8/2008,10,7209.58
2/8/2008,11,6447.25
2/8/2008,12,5688.5
2/8/2008,13,5123
2/8/2008,14,4746.83
2/8/2008,15,4539.5
2/8/2008,16,4565.17
2/8/2008,17,4772.42
2/8/2008,18,5476
2/8/2008,19,6672.5
2/8/2008,20,7010.42
2/8/2008,21,7162.58
2/8/2008,22,7215.58
2/8/2008,23,7006.42
2/8/2008,24,6683
2/9/2008,1,6408.67
2/9/2008,2,6361.58
2/9/2008,3,6409.75
2/9/2008,4,6432.17
2/9/2008,5,6435.42
2/9/2008,6,6538.67
2/9/2008,7,6800.67
2/9/2008,8,7309.17
2/9/2008,9,7493.33
2/9/2008,10,7005.83
2/9/2008,11,6342.58
2/9/2008,12,5755.75
2/9/2008,13,5320.08
2/9/2008,14,5012.92
2/9/2008,15,4783.17
2/9/2008,16,4727.67
2/9/2008,17,4875.08
2/9/2008,18,5298.83
2/9/2008,19,6135.75
2/9/2008,20,6240.25
2/9/2008,21,6139.08
2/9/2008,22,5920.42
2/9/2008,23,5572.83
2/9/2008,24,5168
2/10/2008,1,4797.75
2/10/2008,2,4706.83
2/10/2008,3,4809.08
2/10/2008,4,5073.33
2/10/2008,5,5419.58
2/10/2008,6,5778.67
2/10/2008,7,6275.75
2/10/2008,8,6981.75
2/10/2008,9,7379.92
2/10/2008,10,7059.58
2/10/2008,11,6397.67
2/10/2008,12,5887.17
2/10/2008,13,5572.33
2/10/2008,14,5375.5
2/10/2008,15,5139.08
2/10/2008,16,4909.42
2/10/2008,17,5012.58
2/10/2008,18,5702.5
2/10/2008,19,6805.75
2/10/2008,20,7194
2/10/2008,21,7333.75
2/10/2008,22,7035.42
2/10/2008,23,6626.5
2/10/2008,24,6234.33
2/11/2008,1,6179.42
2/11/2008,2,6423.92
2/11/2008,3,6774.67
2/11/2008,4,7221
2/11/2008,5,7808.83
2/11/2008,6,8985.25
2/11/2008,7,10573.33
2/11/2008,8,10348.17
2/11/2008,9,9167.75
2/11/2008,10,8273.67
2/11/2008,11,7514.58
2/11/2008,12,6886.58
2/11/2008,13,6344.83
2/11/2008,14,5906.58
2/11/2008,15,5549.08
2/11/2008,16,5518.42
2/11/2008,17,5935.75
2/11/2008,18,7129.17
2/11/2008,19,8884.5
2/11/2008,20,9471.75
2/11/2008,21,9604.33
2/11/2008,22,9294.58
2/11/2008,23,8624
2/11/2008,24,8033.92
2/12/2008,1,7788.75
2/12/2008,2,7804.5
