Trend,Date,Hour,Load
242,1/11/2005,2,4595
243,1/11/2005,3,4697
244,1/11/2005,4,4823
245,1/11/2005,5,5176
246,1/11/2005,6,5889
247,1/11/2005,7,6945
248,1/11/2005,8,6741
249,1/11/2005,9,5932
250,1/11/2005,10,5201
251,1/11/2005,11,4742
252,1/11/2005,12,4394
253,1/11/2005,13,4057
254,1/11/2005,14,3839
255,1/11/2005,15,3677
256,1/11/2005,16,3744
257,1/11/2005,17,4143
258,1/11/2005,18,5183
259,1/11/2005,19,6010
260,1/11/2005,20,6188
261,1/11/2005,21,6143
262,1/11/2005,22,5849
263,1/11/2005,23,5247
264,1/11/2005,24,4598
265,1/12/2005,1,4248
266,1/12/2005,2,4138
267,1/12/2005,3,4172
268,1/12/2005,4,4269
269,1/12/2005,5,4537
270,1/12/2005,6,5236
271,1/12/2005,7,6329
272,1/12/2005,8,6038
273,1/12/2005,9,5154
274,1/12/2005,10,4520
275,1/12/2005,11,4108
276,1/12/2005,12,3829
277,1/12/2005,13,3641
278,1/12/2005,14,3535
279,1/12/2005,15,3443
280,1/12/2005,16,3474
281,1/12/2005,17,3738
282,1/12/2005,18,4530
283,1/12/2005,19,5271
284,1/12/2005,20,5307
285,1/12/2005,21,5120
286,1/12/2005,22,4807
287,1/12/2005,23,4174
288,1/12/2005,24,3538
289,1/13/2005,1,3063
290,1/13/2005,2,2874
291,1/13/2005,3,2800
292,1/13/2005,4,2793
293,1/13/2005,5,2910
294,1/13/2005,6,3472
295,1/13/2005,7,4599
296,1/13/2005,8,4559
297,1/13/2005,9,4029
298,1/13/2005,10,3793
299,1/13/2005,11,3706
300,1/13/2005,12,3627
301,1/13/2005,13,3547
302,1/13/2005,14,3517
303,1/13/2005,15,3480
304,1/13/2005,16,3522
305,1/13/2005,17,3873
306,1/13/2005,18,4673
307,1/13/2005,19,5230
308,1/13/2005,20,5306
309,1/13/2005,21,5167
310,1/13/2005,22,4728
311,1/13/2005,23,4118
312,1/13/2005,24,3506
313,1/14/2005,1,3035
314,1/14/2005,2,2834
315,1/14/2005,3,2743
316,1/14/2005,4,2711
317,1/14/2005,5,2772
318,1/14/2005,6,3293
319,1/14/2005,7,4189
320,1/14/2005,8,4342
321,1/14/2005,9,3993
322,1/14/2005,10,3905
323,1/14/2005,11,4041
324,1/14/2005,12,4085
325,1/14/2005,13,4107
326,1/14/2005,14,4111
327,1/14/2005,15,4123
328,1/14/2005,16,4357
329,1/14/2005,17,4839
330,1/14/2005,18,5577
331,1/14/2005,19,6119
332,1/14/2005,20,6104
333,1/14/2005,21,6007
334,1/14/2005,22,5914
335,1/14/2005,23,5687
336,1/14/2005,24,5427
337,1/15/2005,1,5211
338,1/15/2005,2,5182
339,1/15/2005,3,5299
340,1/15/2005,4,5472
341,1/15/2005,5,5712
342,1/15/2005,6,6049
343,1/15/2005,7,6485
344,1/15/2005,8,7009
345,1/15/2005,9,7530
346,1/15/2005,10,7538
347,1/15/2005,11,7276
348,1/15/2005,12,6913
349,1/15/2005,13,6316
350,1/15/2005,14,6009
351,1/15/2005,15,5934
352,1/15/2005,16,5922
353,1/15/2005,17,6406
354,1/15/2005,18,7064
355,1/15/2005,19,7456
356,1/15/2005,20,7381
357,1/15/2005,21,7345
358,1/15/2005,22,7197
359,1/15/2005,23,6925
360,1/15/2005,24,6538
361,1/16/2005,1,6244
362,1/16/2005,2,6113
363,1/16/2005,3,6074
364,1/16/2005,4,6103
365,1/16/2005,5,6187
366,1/16/2005,6,6361
367,1/16/2005,7,6615
368,1/16/2005,8,7120
369,1/16/2005,9,7828
370,1/16/2005,10,8027
371,1/16/2005,11,7888
372,1/16/2005,12,7489
373,1/16/2005,13,7109
374,1/16/2005,14,6611
375,1/16/2005,15,5951
376,1/16/2005,16,5625
377,1/16/2005,17,5796
378,1/16/2005,18,6652
379,1/16/2005,19,7480
380,1/16/2005,20,7731
381,1/16/2005,21,7727
382,1/16/2005,22,7330
383,1/16/2005,23,6778
384,1/16/2005,24,6326
385,1/17/2005,1,6022
386,1/17/2005,2,6085
387,1/17/2005,3,6311
388,1/17/2005,4,6586
389,1/17/2005,5,7011
390,1/17/2005,6,7688
391,1/17/2005,7,8464
392,1/17/2005,8,8658
393,1/17/2005,9,8614
394,1/17/2005,10,8354
395,1/17/2005,11,7973
396,1/17/2005,12,7549
397,1/17/2005,13,7131
398,1/17/2005,14,6785
399,1/17/2005,15,6628
400,1/17/2005,16,6729
401,1/17/2005,17,7395
402,1/17/2005,18,8810
403,1/17/2005,19,9778
404,1/17/2005,20,10001
405,1/17/2005,21,9902
406,1/17/2005,22,9570
407,1/17/2005,23,9073
408,1/17/2005,24,8686
409,1/18/2005,1,8565
410,1/18/2005,2,8665
411,1/18/2005,3,8838
412,1/18/2005,4,9096
413,1/18/2005,5,9499
414,1/18/2005,6,10134
415,1/18/2005,7,10780
416,1/18/2005,8,10443
417,1/18/2005,9,9405
418,1/18/2005,10,9060
419,1/18/2005,11,8360
420,1/18/2005,12,7890
421,1/18/2005,13,7461
422,1/18/2005,14,7000
423,1/18/2005,15,6749
424,1/18/2005,16,6864
425,1/18/2005,17,7566
426,1/18/2005,18,8995
427,1/18/2005,19,10113
428,1/18/2005,20,10543
429,1/18/2005,21,10596
430,1/18/2005,22,10428
431,1/18/2005,23,10131
432,1/18/2005,24,9791
433,1/19/2005,1,9814
434,1/19/2005,2,10023
435,1/19/2005,3,10203
436,1/19/2005,4,10451
437,1/19/2005,5,10701
438,1/19/2005,6,10897
439,1/19/2005,7,11252
440,1/19/2005,8,10524
441,1/19/2005,9,9808
442,1/19/2005,10,9215
443,1/19/2005,11,8854
444,1/19/2005,12,8736
445,1/19/2005,13,8826
446,1/19/2005,14,8922
447,1/19/2005,15,9197
448,1/19/2005,16,9210
449,1/19/2005,17,9068
450,1/19/2005,18,9395
451,1/19/2005,19,9758
452,1/19/2005,20,9508
453,1/19/2005,21,9059
454,1/19/2005,22,8670
455,1/19/2005,23,8137
456,1/19/2005,24,7785
457,1/20/2005,1,7652
458,1/20/2005,2,7561
459,1/20/2005,3,7505
460,1/20/2005,4,7501
461,1/20/2005,5,7584
462,1/20/2005,6,7739
463,1/20/2005,7,8032
464,1/20/2005,8,8292
465,1/20/2005,9,8586
466,1/20/2005,10,8431
467,1/20/2005,11,8028
468,1/20/2005,12,7544
469,1/20/2005,13,7128
470,1/20/2005,14,6564
471,1/20/2005,15,6228
472,1/20/2005,16,6230
473,1/20/2005,17,6554
474,1/20/2005,18,7373
475,1/20/2005,19,7944
476,1/20/2005,20,7901
477,1/20/2005,21,7731
478,1/20/2005,22,7310
479,1/20/2005,23,6804
480,1/20/2005,24,6351
481,1/21/2005,1,6162
482,1/21/2005,2,6151
483,1/21/2005,3,6209
484,1/21/2005,4,6302
485,1/21/2005,5,6494
486,1/21/2005,6,6949
487,1/21/2005,7,7519
488,1/21/2005,8,7883
489,1/21/2005,9,8006
490,1/21/2005,10,7996
491,1/21/2005,11,7952
492,1/21/2005,12,7923
493,1/21/2005,13,7851
494,1/21/2005,14,7575
495,1/21/2005,15,7423
496,1/21/2005,16,7473
497,1/21/2005,17,7760
498,1/21/2005,18,8442
499,1/21/2005,19,8910
500,1/21/2005,20,8765
501,1/21/2005,21,8638
502,1/21/2005,22,8534
503,1/21/2005,23,8202
504,1/21/2005,24,7843
505,1/22/2005,1,7548
506,1/22/2005,2,7414
507,1/22/2005,3,7359
508,1/22/2005,4,7397
509,1/22/2005,5,7520
510,1/22/2005,6,7701
511,1/22/2005,7,7951
512,1/22/2005,8,8286
513,1/22/2005,9,8773
514,1/22/2005,10,9129
515,1/22/2005,11,9232
516,1/22/2005,12,9204
517,1/22/2005,13,9163
518,1/22/2005,14,9100
519,1/22/2005,15,8948
520,1/22/2005,16,8857
521,1/22/2005,17,8964
522,1/22/2005,18,9336
523,1/22/2005,19,9396
524,1/22/2005,20,9039
525,1/22/2005,21,8622
526,1/22/2005,22,8147
527,1/22/2005,23,7638
528,1/22/2005,24,7194
529,1/23/2005,1,6924
530,1/23/2005,2,6953
531,1/23/2005,3,7265
532,1/23/2005,4,7848
533,1/23/2005,5,8371
534,1/23/2005,6,9006
535,1/23/2005,7,9733
536,1/23/2005,8,10378
537,1/23/2005,9,10754
538,1/23/2005,10,10613
539,1/23/2005,11,10234
540,1/23/2005,12,9784
541,1/23/2005,13,9322
542,1/23/2005,14,8865
543,1/23/2005,15,8475
544,1/23/2005,16,8325
545,1/23/2005,17,8564
546,1/23/2005,18,9367
547,1/23/2005,19,10087
548,1/23/2005,20,10230
549,1/23/2005,21,10296
550,1/23/2005,22,10109
551,1/23/2005,23,9712
552,1/23/2005,24,9332
553,1/24/2005,1,9216
554,1/24/2005,2,9347
555,1/24/2005,3,9553
556,1/24/2005,4,9809
557,1/24/2005,5,10171
558,1/24/2005,6,10850
559,1/24/2005,7,11392
560,1/24/2005,8,11269
561,1/24/2005,9,10070
562,1/24/2005,10,9202
563,1/24/2005,11,7991
564,1/24/2005,12,7128
565,1/24/2005,13,6720
566,1/24/2005,14,6234
567,1/24/2005,15,5957
568,1/24/2005,16,6379
569,1/24/2005,17,7081
570,1/24/2005,18,7935
571,1/24/2005,19,8571
572,1/24/2005,20,8636
573,1/24/2005,21,8395
574,1/24/2005,22,8060
575,1/24/2005,23,7392
576,1/24/2005,24,6867
577,1/25/2005,1,6615
578,1/25/2005,2,6639
579,1/25/2005,3,6766
580,1/25/2005,4,6986
581,1/25/2005,5,7319
582,1/25/2005,6,8191
583,1/25/2005,7,9332
584,1/25/2005,8,9200
585,1/25/2005,9,8254
586,1/25/2005,10,6916
587,1/25/2005,11,5916
588,1/25/2005,12,5339
589,1/25/2005,13,4840
590,1/25/2005,14,4477
591,1/25/2005,15,4234
592,1/25/2005,16,4307
593,1/25/2005,17,4660
594,1/25/2005,18,5717
595,1/25/2005,19,6930
596,1/25/2005,20,7373
597,1/25/2005,21,7418
598,1/25/2005,22,7238
599,1/25/2005,23,6624
600,1/25/2005,24,6016
601,1/26/2005,1,5688
602,1/26/2005,2,5639
603,1/26/2005,3,5714
604,1/26/2005,4,5853
605,1/26/2005,5,6121
606,1/26/2005,6,6793
607,1/26/2005,7,7886
608,1/26/2005,8,7636
609,1/26/2005,9,6760
610,1/26/2005,10,6231
611,1/26/2005,11,5577
612,1/26/2005,12,4959
613,1/26/2005,13,4744
614,1/26/2005,14,4525
615,1/26/2005,15,4210
616,1/26/2005,16,4265
617,1/26/2005,17,4462
618,1/26/2005,18,5322
619,1/26/2005,19,6257
620,1/26/2005,20,6352
621,1/26/2005,21,6204
622,1/26/2005,22,6105
623,1/26/2005,23,5593
624,1/26/2005,24,5074
625,1/27/2005,1,4734
626,1/27/2005,2,4701
627,1/27/2005,3,4746
628,1/27/2005,4,4835
629,1/27/2005,5,5077
630,1/27/2005,6,5822
631,1/27/2005,7,7177
632,1/27/2005,8,7263
633,1/27/2005,9,6812
634,1/27/2005,10,6577
635,1/27/2005,11,6128
636,1/27/2005,12,5770
637,1/27/2005,13,5476
638,1/27/2005,14,5297
639,1/27/2005,15,5116
640,1/27/2005,16,5306
641,1/27/2005,17,5992
642,1/27/2005,18,7365
643,1/27/2005,19,8656
644,1/27/2005,20,9113
645,1/27/2005,21,9314
646,1/27/2005,22,9103
647,1/27/2005,23,8589
648,1/27/2005,24,8148
649,1/28/2005,1,8038
650,1/28/2005,2,8146
651,1/28/2005,3,8424
652,1/28/2005,4,8651
653,1/28/2005,5,9039
654,1/28/2005,6,9903
655,1/28/2005,7,11147
656,1/28/2005,8,10906
657,1/28/2005,9,10055
658,1/28/2005,10,9291
659,1/28/2005,11,8393
660,1/28/2005,12,7690
661,1/28/2005,13,7158
662,1/28/2005,14,6753
663,1/28/2005,15,6395
664,1/28/2005,16,6462
665,1/28/2005,17,6993
666,1/28/2005,18,8061
667,1/28/2005,19,9003
668,1/28/2005,20,9187
669,1/28/2005,21,9160
670,1/28/2005,22,9034
671,1/28/2005,23,8807
672,1/28/2005,24,8500
673,1/29/2005,1,8227
674,1/29/2005,2,8118
675,1/29/2005,3,8230
676,1/29/2005,4,8419
677,1/29/2005,5,8700
678,1/29/2005,6,9169
679,1/29/2005,7,9599
680,1/29/2005,8,9990
681,1/29/2005,9,10197
682,1/29/2005,10,9768
683,1/29/2005,11,8978
684,1/29/2005,12,8251
685,1/29/2005,13,7663
686,1/29/2005,14,7359
687,1/29/2005,15,7283
688,1/29/2005,16,7395
689,1/29/2005,17,7917
690,1/29/2005,18,8440
691,1/29/2005,19,8765
692,1/29/2005,20,8577
693,1/29/2005,21,8215
694,1/29/2005,22,7748
695,1/29/2005,23,7310
696,1/29/2005,24,6844
697,1/30/2005,1,6473
698,1/30/2005,2,6395
699,1/30/2005,3,6530
700,1/30/2005,4,6690
701,1/30/2005,5,6822
702,1/30/2005,6,6963
703,1/30/2005,7,7087
704,1/30/2005,8,7462
705,1/30/2005,9,7958
706,1/30/2005,10,8147
707,1/30/2005,11,7996
708,1/30/2005,12,7788
709,1/30/2005,13,7621
710,1/30/2005,14,7399
711,1/30/2005,15,7202
712,1/30/2005,16,7197
713,1/30/2005,17,7339
714,1/30/2005,18,7745
715,1/30/2005,19,8274
716,1/30/2005,20,8411
717,1/30/2005,21,8371
718,1/30/2005,22,8028
719,1/30/2005,23,7446
720,1/30/2005,24,6999
721,1/31/2005,1,6752
722,1/31/2005,2,6788
723,1/31/2005,3,6859
724,1/31/2005,4,6975
725,1/31/2005,5,7258
726,1/31/2005,6,8105
727,1/31/2005,7,9271
728,1/31/2005,8,9019
729,1/31/2005,9,8001
730,1/31/2005,10,7170
731,1/31/2005,11,6507
732,1/31/2005,12,5921
733,1/31/2005,13,5419
734,1/31/2005,14,5075
735,1/31/2005,15,4816
736,1/31/2005,16,4862
737,1/31/2005,17,5353
738,1/31/2005,18,6509
739,1/31/2005,19,7700
740,1/31/2005,20,8042
741,1/31/2005,21,8025
742,1/31/2005,22,7696
743,1/31/2005,23,7165
744,1/31/2005,24,6700
745,2/1/2005,1,6582
746,2/1/2005,2,6647
747,2/1/2005,3,6836
748,2/1/2005,4,7101
749,2/1/2005,5,7456
750,2/1/2005,6,8233
751,2/1/2005,7,9048
752,2/1/2005,8,8687
753,2/1/2005,9,8219
754,2/1/2005,10,7353
755,2/1/2005,11,6343
756,2/1/2005,12,5635
757,2/1/2005,13,5113
758,2/1/2005,14,4735
759,2/1/2005,15,4480
760,2/1/2005,16,4566
761,2/1/2005,17,4306
762,2/1/2005,18,5197
763,2/1/2005,19,6373
764,2/1/2005,20,7880
765,2/1/2005,21,8142
766,2/1/2005,22,7999
767,2/1/2005,23,7521
768,2/1/2005,24,7074
769,2/2/2005,1,6963
770,2/2/2005,2,7076
771,2/2/2005,3,7266
772,2/2/2005,4,7494
773,2/2/2005,5,7876
774,2/2/2005,6,8707
775,2/2/2005,7,9684
776,2/2/2005,8,9361
777,2/2/2005,9,8570
778,2/2/2005,10,7294
779,2/2/2005,11,6365
780,2/2/2005,12,5691
781,2/2/2005,13,5103
782,2/2/2005,14,4752
783,2/2/2005,15,4743
784,2/2/2005,16,4988
785,2/2/2005,17,5558
786,2/2/2005,18,6376
787,2/2/2005,19,7338
788,2/2/2005,20,7521
789,2/2/2005,21,7373
790,2/2/2005,22,7092
791,2/2/2005,23,6468
792,2/2/2005,24,5745
793,2/3/2005,1,5383
794,2/3/2005,2,5315
795,2/3/2005,3,5396
796,2/3/2005,4,5480
797,2/3/2005,5,5778
798,2/3/2005,6,6559
799,2/3/2005,7,7718
800,2/3/2005,8,7651
801,2/3/2005,9,7132
802,2/3/2005,10,6950
803,2/3/2005,11,6806
804,2/3/2005,12,6816
805,2/3/2005,13,6862
806,2/3/2005,14,7025
807,2/3/2005,15,7028
808,2/3/2005,16,7215
809,2/3/2005,17,7553
810,2/3/2005,18,8238
811,2/3/2005,19,8765
812,2/3/2005,20,8708
813,2/3/2005,21,8443
814,2/3/2005,22,7899
815,2/3/2005,23,7212
816,2/3/2005,24,6631
817,2/4/2005,1,6311
818,2/4/2005,2,6276
819,2/4/2005,3,6269
820,2/4/2005,4,6355
821,2/4/2005,5,6642
822,2/4/2005,6,7414
823,2/4/2005,7,8609
824,2/4/2005,8,8484
825,2/4/2005,9,7723
826,2/4/2005,10,6854
827,2/4/2005,11,6140
828,2/4/2005,12,5724
829,2/4/2005,13,5339
830,2/4/2005,14,5028
831,2/4/2005,15,4859
832,2/4/2005,16,4786
833,2/4/2005,17,5148
834,2/4/2005,18,5853
835,2/4/2005,19,6758
836,2/4/2005,20,6872
837,2/4/2005,21,6827
838,2/4/2005,22,6732
839,2/4/2005,23,6375
840,2/4/2005,24,5993
841,2/5/2005,1,5701
842,2/5/2005,2,5629
843,2/5/2005,3,5655
844,2/5/2005,4,5847
845,2/5/2005,5,5988
846,2/5/2005,6,6269
847,2/5/2005,7,6687
848,2/5/2005,8,7107
849,2/5/2005,9,7155
850,2/5/2005,10,6681
851,2/5/2005,11,6056
852,2/5/2005,12,5507
853,2/5/2005,13,5002
854,2/5/2005,14,4616
855,2/5/2005,15,4343
856,2/5/2005,16,4253
857,2/5/2005,17,4377
858,2/5/2005,18,4831
859,2/5/2005,19,5701
860,2/5/2005,20,5938
861,2/5/2005,21,6044
862,2/5/2005,22,6131
863,2/5/2005,23,6013
864,2/5/2005,24,5818
865,2/6/2005,1,5643
866,2/6/2005,2,5674
867,2/6/2005,3,5766
868,2/6/2005,4,5932
869,2/6/2005,5,6233
870,2/6/2005,6,6583
871,2/6/2005,7,6973
872,2/6/2005,8,7456
873,2/6/2005,9,7263
874,2/6/2005,10,6481
875,2/6/2005,11,5528
876,2/6/2005,12,4868
877,2/6/2005,13,4490
878,2/6/2005,14,4258
879,2/6/2005,15,4231
880,2/6/2005,16,4335
881,2/6/2005,17,4465
882,2/6/2005,18,4966
883,2/6/2005,19,5704
884,2/6/2005,20,5795
885,2/6/2005,21,5888
886,2/6/2005,22,5776
887,2/6/2005,23,5411
888,2/6/2005,24,4914
889,2/7/2005,1,4605
890,2/7/2005,2,4647
891,2/7/2005,3,4776
892,2/7/2005,4,4926
893,2/7/2005,5,5227
894,2/7/2005,6,5994
895,2/7/2005,7,7287
896,2/7/2005,8,7235
897,2/7/2005,9,6203
898,2/7/2005,10,5339
899,2/7/2005,11,4741
900,2/7/2005,12,4270
901,2/7/2005,13,3966
902,2/7/2005,14,3740
903,2/7/2005,15,3633
904,2/7/2005,16,3608
905,2/7/2005,17,3825
906,2/7/2005,18,4493
907,2/7/2005,19,5711
908,2/7/2005,20,6131
909,2/7/2005,21,6154
910,2/7/2005,22,5952
911,2/7/2005,23,5467
912,2/7/2005,24,4924
913,2/8/2005,1,4571
914,2/8/2005,2,4492
915,2/8/2005,3,4530
916,2/8/2005,4,4647
917,2/8/2005,5,4898
918,2/8/2005,6,5587
919,2/8/2005,7,6717
920,2/8/2005,8,6462
921,2/8/2005,9,5547
922,2/8/2005,10,4719
923,2/8/2005,11,4218
924,2/8/2005,12,3881
925,2/8/2005,13,3697
926,2/8/2005,14,3596
927,2/8/2005,15,3491
928,2/8/2005,16,3545
929,2/8/2005,17,3723
930,2/8/2005,18,4296
931,2/8/2005,19,5319
932,2/8/2005,20,5583
933,2/8/2005,21,5423
934,2/8/2005,22,5133
935,2/8/2005,23,4523
936,2/8/2005,24,3930
937,2/9/2005,1,3535
938,2/9/2005,2,3398
939,2/9/2005,3,3364
940,2/9/2005,4,3434
941,2/9/2005,5,3645
942,2/9/2005,6,4340
943,2/9/2005,7,5518
944,2/9/2005,8,5366
945,2/9/2005,9,4699
946,2/9/2005,10,4344
947,2/9/2005,11,4118
948,2/9/2005,12,3958
949,2/9/2005,13,3874
950,2/9/2005,14,3844
951,2/9/2005,15,3872
952,2/9/2005,16,4028
953,2/9/2005,17,4387
954,2/9/2005,18,5070
955,2/9/2005,19,5770
956,2/9/2005,20,5822
957,2/9/2005,21,5624
958,2/9/2005,22,5234
959,2/9/2005,23,4659
960,2/9/2005,24,3989
961,2/10/2005,1,3544
962,2/10/2005,2,3361
963,2/10/2005,3,3312
964,2/10/2005,4,3336
965,2/10/2005,5,3579
966,2/10/2005,6,4318
967,2/10/2005,7,5536
968,2/10/2005,8,5505
969,2/10/2005,9,4878
970,2/10/2005,10,4519
971,2/10/2005,11,4352
972,2/10/2005,12,4169
973,2/10/2005,13,4157
974,2/10/2005,14,4275
975,2/10/2005,15,4382
976,2/10/2005,16,4712
977,2/10/2005,17,5280
978,2/10/2005,18,6265
979,2/10/2005,19,7483
980,2/10/2005,20,7835
981,2/10/2005,21,7822
982,2/10/2005,22,7546
983,2/10/2005,23,7049
984,2/10/2005,24,6461
985,2/11/2005,1,6272
986,2/11/2005,2,6326
987,2/11/2005,3,6432
988,2/11/2005,4,6611
989,2/11/2005,5,6900
990,2/11/2005,6,7682
991,2/11/2005,7,8875
992,2/11/2005,8,8609
993,2/11/2005,9,7571
994,2/11/2005,10,6828
995,2/11/2005,11,6194
996,2/11/2005,12,5692
997,2/11/2005,13,5221
998,2/11/2005,14,4952
